strategy,date,direction,entry_time,exit_time,entry_underlying,exit_underlying,entry_premium,exit_premium,qty,gross_pnl,fees,net_pnl,reason,setup,symbol,instrument,regime,segment
rsi_bounce,2025-06-02,bullish,10:25,,11034.0,11049.0,11034.0,11049.0,7,105.0,105.38,-0.38,RSI5_50,S1,ULTRACEMCO-EQ,equity,BULL,all
rsi_bounce,2025-06-02,bullish,10:20,,1433.6,1435.5,1433.6,1435.5,57,108.30000000000518,108.73,-0.43,RSI5_50,S1,ICICIBANK-EQ,equity,BULL,all
rsi_bounce,2025-06-02,bullish,10:35,,971.55,973.2,971.55,973.2,85,140.25000000000773,109.41,30.84,RSI5_50,S1,JSWSTEEL-EQ,equity,BULL,all
rsi_bounce,2025-06-02,bullish,10:40,,6949.0,6983.5,6949.0,6983.5,11,379.5,104.9,274.6,RSI5_50,S1,APOLLOHOSP-EQ,equity,BULL,all
rsi_bounce,2025-06-02,bullish,10:20,,8427.5,8433.0,8427.5,8433.0,9,49.5,104.29,-54.79,RSI5_50,S1,BAJAJ-AUTO-EQ,equity,BULL,all
rsi_bounce,2025-06-02,bullish,10:35,,3480.8,3486.3,3480.8,3486.3,23,126.5,107.5,19.0,RSI5_50,S1,TITAN-EQ,equity,BULL,all
rsi_bounce,2025-06-02,bullish,11:05,,814.0,813.9,814.0,813.9,101,-10.100000000002296,109.05,-119.15,RSI5_50,S1,INDUSINDBK-EQ,equity,BULL,all
rsi_bounce,2025-06-02,bullish,11:30,,399.0,399.0,399.0,399.0,208,0.0,109.65,-109.65,RSI5_50,S1,COALINDIA-EQ,equity,BULL,all
rsi_bounce,2025-06-02,bullish,11:30,,193.38,193.55,193.38,193.55,429,72.93000000000683,109.66,-36.73,RSI5_50,S1,IRCON-EQ,equity,BULL,all
rsi_bounce,2025-06-02,bullish,11:40,,330.7,330.85,330.7,330.85,250,37.50000000000853,109.43,-71.93,RSI5_50,S1,NTPC-EQ,equity,BULL,all
rsi_bounce,2025-06-02,bullish,12:10,,11036.0,11047.0,11036.0,11047.0,7,77.0,105.37,-28.37,RSI5_50,S1,ULTRACEMCO-EQ,equity,BULL,all
rsi_bounce,2025-06-02,bullish,12:30,,240.01,240.25,240.01,240.25,345,82.80000000000314,109.54,-26.74,RSI5_50,S1,ETERNAL-EQ,equity,BULL,all
rsi_bounce,2025-06-02,bullish,13:00,,5336.5,5343.5,5336.5,5343.5,15,105.0,107.48,-2.48,RSI5_50,S1,EICHERMOT-EQ,equity,BULL,all
rsi_bounce,2025-06-02,bullish,13:00,,6957.5,6956.0,6957.5,6956.0,11,-16.5,104.78,-121.28,RSI5_50,S1,APOLLOHOSP-EQ,equity,BULL,all
rsi_15min,2025-06-02,bullish,11:15,,764.8,764.3,764.8,764.3,108,-54.0,109.33,-163.33,S3_TIME75,S3,HDFCLIFE-EQ,equity,BULL,all
rsi_bounce,2025-06-03,bullish,10:15,,408.62,408.92,408.62,408.92,203,60.90000000000231,109.64,-48.74,RSI5_50,S1,KOTAKBANK-EQ,equity,BULL,all
rsi_bounce,2025-06-03,bullish,10:40,,807.5,806.8,807.5,806.8,102,-71.40000000000464,109.13,-180.53,RSI5_50,S1,INDUSINDBK-EQ,equity,BULL,all
rsi_bounce,2025-06-03,bullish,10:50,,109.66,109.55,109.66,109.55,756,-83.15999999999957,109.54,-192.7,RSI5_50,S1,ADANIPOWER-EQ,equity,BULL,all
rsi_bounce,2025-06-03,bullish,11:15,,1993.4,1986.8,1993.4,1986.8,41,-270.6000000000056,108.57,-379.17,RSI5_50,S1,BAJAJFINSV-EQ,equity,BULL,all
rsi_bounce,2025-06-03,bullish,12:30,,633.45,633.6,633.45,633.6,131,19.64999999999702,109.66,-90.01,RSI5_50,S1,HINDALCO-EQ,equity,BULL,all
rsi_bounce,2025-06-03,bullish,13:00,,1195.85,1195.25,1195.85,1195.25,69,-41.399999999993724,109.26,-150.66,RSI5_50,S1,NESTLEIND-EQ,equity,BULL,all
rsi_bounce,2025-06-03,bullish,13:10,,2395.4,2399.28,2395.4,2399.28,34,131.9200000000037,108.55,23.37,RSI5_50,S1,ADANIENT-EQ,equity,BULL,all
rsi_15min,2025-06-03,bullish,11:15,,239.4,240.89,239.4,240.89,346,515.5399999999934,109.79,405.75,S3_RSI50,S3,ETERNAL-EQ,equity,BULL,all
rsi_15min,2025-06-03,bullish,11:40,,252.93,251.76,252.93,251.76,328,-383.7600000000052,109.44,-493.2,S3_TIME75,S3,BANKBARODA-EQ,equity,BULL,all
rsi_bounce,2025-06-04,bullish,10:15,,5535.5,5533.0,5535.5,5533.0,14,-35.0,105.49,-140.49,RSI5_50,S1,BRITANNIA-EQ,equity,BULL,all
rsi_bounce,2025-06-04,bullish,11:20,,1172.1,1173.9,1172.1,1173.9,70,126.00000000001273,108.99,17.01,RSI5_50,S1,AXISBANK-EQ,equity,BULL,all
rsi_bounce,2025-06-04,bullish,10:40,,326.1,325.65,326.1,325.65,254,-114.30000000001155,109.48,-223.78,RSI5_50,S1,NTPC-EQ,equity,BULL,all
rsi_bounce,2025-06-04,bullish,11:30,,247.05,246.72,247.05,246.72,335,-110.55000000000419,109.42,-219.97,RSI5_50,S1,WIPRO-EQ,equity,BULL,all
rsi_bounce,2025-06-04,bullish,11:20,,967.95,964.75,967.95,964.75,85,-272.00000000000387,108.98,-380.98,RSI5_50,S1,JSWSTEEL-EQ,equity,BULL,all
rsi_bounce,2025-06-04,bullish,11:50,,8565.0,8543.5,8565.0,8543.5,9,-193.5,105.12,-298.62,RSI5_50,S1,BAJAJ-AUTO-EQ,equity,BULL,all
rsi_bounce,2025-06-04,bullish,12:40,,535.2,533.85,535.2,533.85,82,-110.70000000000186,80.18,-190.88,RSI5_50,S1,NAVA-EQ,equity,BULL,all
rsi_bounce,2025-06-04,bullish,12:40,,1479.7,1475.0,1479.7,1475.0,56,-263.20000000000255,109.42,-372.62,RSI5_50,S1,CIPLA-EQ,equity,BULL,all
rsi_bounce,2025-06-04,bullish,13:45,,1426.9,1427.7,1426.9,1427.7,58,46.39999999999736,109.49,-63.09,RSI5_50,S1,ICICIBANK-EQ,equity,BULL,all
rsi_15min,2025-06-04,bullish,11:55,,3064.2,3055.3,3064.2,3055.3,27,-240.29999999999018,109.34,-349.64,S3_TIME75,S3,M&M-EQ,equity,BULL,all
rsi_15min,2025-06-04,bullish,14:25,,897.5,898.2,897.5,898.2,92,64.40000000000418,109.36,-44.96,S3_EXIT,S3,BAJFINANCE-EQ,equity,BULL,all
