strategy,date,direction,entry_time,exit_time,entry_underlying,exit_underlying,entry_premium,exit_premium,qty,gross_pnl,fees,net_pnl,reason,setup,symbol,instrument,regime,segment
vp_trend,2026-01-09,bullish,11:45,11:50,25877.4,25861.1,75.9,67.66903999999855,65,-535.0124000000949,55.67,-590.6824000000948,zone_failure,vp,NIFTY,option,,all
liquidity_sweep,2026-01-22,bullish,14:33,14:42,25312.2,25306.3,74.2,71.10753599999927,65,-201.01016000004756,55.94,-256.95016000004756,invalidation,sweep,NIFTY,option,,all
liquidity_sweep,2026-01-22,bullish,14:43,14:45,25319.6,25328.2,74.2,78.46834133333442,65,277.44218666673726,56.61,220.83218666673724,time_stop,sweep,NIFTY,option,,all
vp_trend,2026-01-29,bullish,11:30,11:35,25393.0,25360.0,74.4,57.820640000000004,65,-1077.6584,54.72,-1132.3784,zone_failure,vp,NIFTY,option,,all
vp_trend,2026-01-29,bullish,12:30,13:35,25400.0,25503.7,74.5,125.3169333333337,21,1067.1556000000076,51.64,1015.5156000000076,target_0,vp,NIFTY,option,,all
vp_trend,2026-01-29,bullish,12:30,14:45,25400.0,25543.6,74.5,144.15439999999927,44,3064.793599999968,57.69,3007.103599999968,time_stop,vp,NIFTY,option,,all
rsi_predictor,2026-02-05,bullish,11:09,14:11,25742.3,25674.9,75.5,38.86858666666776,65,-2381.0418666665955,53.0,-2434.0418666665955,hard_stop,BULLISH_W,NIFTY,option,,all
liquidity_sweep,2026-02-26,bullish,14:43,14:45,25637.3,25636.1,75.1,74.46795733333296,65,-41.08277333335714,56.28,-97.36277333335714,time_stop,sweep,NIFTY,option,,all
vp_trend,2026-02-26,bullish,12:30,12:55,25579.0,25570.1,75.0,70.14999999999927,65,-315.25000000004763,55.879999999999995,-371.13000000004763,zone_failure,vp,NIFTY,option,,all
vp_trend,2026-02-26,bullish,14:00,14:05,25574.9,25551.0,75.0,62.969999999999274,65,-781.9500000000472,55.21,-837.1600000000473,zone_failure,vp,NIFTY,option,,all
vp_trend,2026-02-26,bullish,14:25,14:30,25577.9,25583.8,75.0,77.86999999999891,21,60.26999999997712,50.230000000000004,10.039999999977113,poc_magnet_0,vp,NIFTY,option,,all
vp_trend,2026-02-26,bullish,14:25,14:45,25577.9,25636.1,75.0,103.77999999999855,44,1266.3199999999363,55.18,1211.1399999999362,time_stop,vp,NIFTY,option,,all
vp_trend,2026-02-27,bullish,12:20,12:25,25432.5,25415.3,74.5,65.82053333333297,65,-564.1653333333567,55.46,-619.6253333333567,zone_failure,vp,NIFTY,option,,all
liquidity_sweep,2026-03-05,bearish,13:44,13:45,24701.1,24700.4,72.4,72.73455466666522,65,21.74605333323882,56.04,-34.29394666676118,invalidation,sweep,NIFTY,option,,all
liquidity_sweep,2026-03-05,bearish,13:50,14:28,24691.1,24707.0,72.4,63.86307733333261,65,-554.8999733333806,55.22,-610.1199733333806,invalidation,sweep,NIFTY,option,,all
vp_trend,2026-03-05,bullish,12:10,12:40,24685.6,24735.0,72.4,96.63664000000074,21,508.9694400000154,50.760000000000005,458.20944000001543,poc_magnet_0,vp,NIFTY,option,,all
vp_trend,2026-03-05,bullish,12:10,12:45,24685.6,24731.7,72.4,94.90941333333443,15,337.64120000001634,49.71,287.93120000001636,poc_magnet_1,vp,NIFTY,option,,all
vp_trend,2026-03-05,bullish,12:10,13:05,24685.6,24729.0,72.4,93.2505066666674,29,604.6646933333545,51.99,552.6746933333545,poc_magnet_2,vp,NIFTY,option,,all
liquidity_sweep,2026-03-06,bullish,14:16,14:39,24716.8,24666.1,72.4,46.69475733333297,65,-1670.8407733333572,53.629999999999995,-1724.470773333357,invalidation,sweep,NIFTY,option,,all
vp_trend,2026-03-12,bearish,12:05,12:15,23805.0,23818.0,69.8,63.15109333333333,65,-432.1789333333335,55.07,-487.24893333333347,zone_failure,vp,NIFTY,option,,all
vp_trend,2026-04-09,bearish,11:45,11:50,23920.0,23935.6,70.1,62.22522666666739,65,-511.86026666661934,55.0,-566.8602666666193,zone_failure,vp,NIFTY,option,,all
vp_trend,2026-04-09,bearish,12:25,12:30,23926.6,23953.6,70.1,56.52522666666666,65,-882.3602666666667,54.47,-936.8302666666667,zone_failure,vp,NIFTY,option,,all
liquidity_sweep,2026-04-10,bearish,14:23,14:26,24003.0,24008.0,70.4,67.854944,65,-165.42864000000014,55.519999999999996,-220.94864000000013,invalidation,sweep,NIFTY,option,,all
