strategy,date,direction,entry_time,exit_time,entry_underlying,exit_underlying,entry_premium,exit_premium,qty,gross_pnl,fees,net_pnl,reason,setup,symbol,instrument,regime,segment
vp_trend,2025-06-23,bullish,11:25,14:45,24952.0,25010.0,146.3,169.05786666666668,65,1479.2613333333336,67.09,1412.1713333333337,time_stop,vp,NIFTY,option,,train
vp_trend,2025-06-30,bullish,12:15,12:20,25697.2,25698.2,150.6,150.93936,32,10.859519999999975,56.230000000000004,-45.37048000000003,poc_magnet_0,vp,NIFTY,option,,train
vp_trend,2025-06-30,bullish,12:15,12:25,25697.2,25697.7,150.6,150.52872,33,-2.3522400000000516,56.5,-58.85224000000005,poc_magnet_1,vp,NIFTY,option,,train
vp_trend,2025-07-16,bullish,11:55,14:20,25226.0,25286.9,104.6,131.81437333333406,32,870.8599466666901,54.7,816.1599466666901,target_0,vp,NIFTY,option,,train
vp_trend,2025-07-16,bullish,11:55,14:45,25226.0,25275.3,104.6,125.4565066666663,33,688.2647199999881,54.629999999999995,633.6347199999881,time_stop,vp,NIFTY,option,,train
vp_trend,2025-07-28,bullish,12:00,12:15,24845.0,24806.3,145.7,125.88375999999963,65,-1288.0556000000236,63.09,-1351.1456000000235,zone_failure,vp,NIFTY,option,,train
vp_trend,2025-08-01,bullish,14:15,14:20,24717.0,24710.0,72.4,68.82277333333334,32,-114.47125333333315,51.370000000000005,-165.84125333333316,poc_magnet_0,vp,NIFTY,option,,train
vp_trend,2025-08-01,bullish,14:15,14:35,24717.0,24714.4,72.4,70.79109333333406,33,-53.09391999997618,51.6,-104.69391999997617,poc_magnet_1,vp,NIFTY,option,,train
vp_trend,2025-08-05,bullish,12:15,13:05,24725.0,24685.5,125.5,104.41133333333333,65,-1370.7633333333335,60.510000000000005,-1431.2733333333335,zone_failure,vp,NIFTY,option,,train
vp_trend,2025-08-12,bullish,14:40,14:45,24587.0,24570.9,124.8,116.61688000000072,65,-531.902799999953,61.62,-593.522799999953,time_stop,vp,NIFTY,option,,train
vp_trend,2025-09-03,bullish,12:15,12:55,24746.0,24718.0,102.6,87.72448,32,-476.0166399999998,52.67,-528.6866399999998,poc_magnet_0,vp,NIFTY,option,,train
vp_trend,2025-09-03,bullish,12:15,13:00,24746.0,24705.1,102.6,81.16503999999927,33,-707.353680000024,52.53,-759.883680000024,poc_magnet_1,vp,NIFTY,option,,train
vp_trend,2025-09-23,bullish,14:05,14:45,25305.5,25291.5,128.5,120.40346666666667,65,-526.2746666666662,62.08,-588.3546666666663,time_stop,vp,NIFTY,option,,train
vp_trend,2025-09-30,bullish,11:20,11:45,24688.6,24651.4,125.3,106.03173333333478,65,-1252.4373333332387,60.66,-1313.0973333332388,zone_failure,vp,NIFTY,option,,train
vp_trend,2025-10-14,bullish,14:05,14:45,25192.5,25242.0,127.9,151.55858666666668,65,1537.8081333333341,64.93,1472.878133333334,time_stop,vp,NIFTY,option,,train
vp_trend,2025-10-28,bullish,12:20,12:40,25869.9,25911.6,131.3,151.58978666666522,32,649.2731733332866,55.98,593.2931733332866,poc_magnet_0,vp,NIFTY,option,,train
vp_trend,2025-10-28,bullish,12:20,12:45,25869.9,25945.0,131.3,168.14973333333262,33,1216.041199999976,57.03,1159.011199999976,target_1,vp,NIFTY,option,,train
vp_trend,2025-11-21,bullish,14:10,14:45,26159.0,26134.5,76.7,63.87730666666667,65,-833.4750666666666,55.35,-888.8250666666667,time_stop,vp,NIFTY,option,,train
vp_trend,2025-12-15,bullish,12:25,12:30,26110.0,26107.0,153.1,151.43669333333332,32,-53.22581333333346,56.29,-109.51581333333345,poc_magnet_0,vp,NIFTY,option,,train
vp_trend,2025-12-15,bullish,12:25,12:35,26110.0,26111.3,153.1,153.4233866666663,33,10.671759999987728,56.67,-45.998240000012274,poc_magnet_1,vp,NIFTY,option,,train
vp_trend,2025-12-29,bullish,11:50,13:15,26002.3,25972.4,152.4,134.6864800000011,65,-1151.378799999929,64.1,-1215.478799999929,zone_failure,vp,NIFTY,option,,train
vp_trend,2025-12-29,bullish,14:25,14:45,25968.0,25948.0,152.2,141.55061333333333,65,-692.2101333333328,64.73,-756.9401333333328,time_stop,vp,NIFTY,option,,train
vp_trend,2026-01-05,bullish,12:00,13:15,26454.0,26420.9,155.1,136.06840000000074,65,-1237.0539999999519,64.3,-1301.3539999999518,zone_failure,vp,NIFTY,option,,train
vp_trend,2026-01-14,bullish,14:45,14:50,25746.0,25750.4,106.7,108.78618666666739,65,135.6021333333802,60.36,75.24213333338021,time_stop,vp,NIFTY,option,,train
vp_trend,2026-01-16,bullish,12:05,12:30,25870.6,25809.0,75.8,44.59573333333406,65,-2028.277333333286,53.54,-2081.817333333286,hard_stop,vp,NIFTY,option,,train
vp_trend,2026-01-27,bullish,11:20,11:30,25050.0,25090.0,127.2,146.92864,32,631.31648,55.71,575.6064799999999,poc_magnet_0,vp,NIFTY,option,,train
vp_trend,2026-01-27,bullish,11:20,11:40,25050.0,25095.1,127.2,149.20727999999926,33,726.2402399999754,56.08,670.1602399999754,poc_magnet_1,vp,NIFTY,option,,train
vp_trend,2026-01-27,bullish,14:35,14:40,25056.5,25115.2,127.2,156.41432000000034,32,934.8582400000109,56.14,878.718240000011,target_0,vp,NIFTY,option,,train
vp_trend,2026-01-27,bullish,14:35,14:45,25056.5,25129.1,127.2,163.22863999999927,33,1188.945119999976,56.739999999999995,1132.205119999976,time_stop,vp,NIFTY,option,,train
vp_trend,2026-02-02,bearish,14:10,14:30,24998.0,25053.2,146.5,118.27493333333297,65,-1834.6293333333572,62.410000000000004,-1897.0393333333573,zone_failure,vp,NIFTY,option,,test
vp_trend,2026-02-04,bullish,12:00,13:25,25812.2,25846.7,107.0,122.30973333333333,32,489.91146666666646,54.3,435.61146666666644,poc_magnet_0,vp,NIFTY,option,,test
vp_trend,2026-02-04,bullish,12:00,13:30,25812.2,25845.5,107.0,121.59559999999964,33,481.654799999988,54.49,427.16479999998796,poc_magnet_1,vp,NIFTY,option,,test
vp_trend,2026-02-16,bullish,12:00,12:05,25569.9,25572.0,149.9,150.79010666666593,32,28.483413333309727,56.21,-27.726586666690274,poc_magnet_0,vp,NIFTY,option,,test
vp_trend,2026-02-16,bullish,12:00,12:15,25569.9,25570.7,149.9,149.82031999999964,33,-2.6294400000120675,56.45,-59.07944000001207,poc_magnet_1,vp,NIFTY,option,,test
vp_trend,2026-02-24,bullish,14:15,14:35,25439.0,25408.9,129.2,113.59874666666738,65,-1014.0814666666195,61.47,-1075.5514666666195,zone_failure,vp,NIFTY,option,,test
vp_trend,2026-02-26,bullish,14:10,14:20,25580.0,25584.4,75.0,77.04000000000073,32,65.28000000002339,51.78,13.500000000023391,poc_magnet_0,vp,NIFTY,option,,test
vp_trend,2026-02-26,bullish,14:10,14:25,25580.0,25577.9,75.0,73.71000000000073,33,-42.56999999997582,51.769999999999996,-94.33999999997582,poc_magnet_1,vp,NIFTY,option,,test
vp_trend,2026-02-27,bullish,12:30,13:55,25435.6,25472.8,74.6,91.8472533333337,32,551.9121066666785,52.45,499.4621066666785,poc_magnet_0,vp,NIFTY,option,,test
vp_trend,2026-02-27,bullish,12:30,14:00,25435.6,25486.9,74.6,98.81768000000145,33,799.1834400000479,52.94,746.2434400000479,target_1,vp,NIFTY,option,,test
vp_trend,2026-03-05,bullish,12:15,12:30,24692.1,24748.3,72.4,100.26832000000037,32,891.7862400000117,52.8,838.9862400000118,target_0,vp,NIFTY,option,,test
vp_trend,2026-03-05,bullish,12:15,12:40,24692.1,24735.0,72.4,93.4638666666674,33,695.107600000024,52.66,642.4476000000241,poc_magnet_1,vp,NIFTY,option,,test
vp_trend,2026-03-09,bearish,12:10,12:55,23930.8,23980.0,140.3,114.35311999999965,65,-1686.5472000000236,61.87,-1748.4172000000235,zone_failure,vp,NIFTY,option,,test
vp_trend,2026-03-10,bearish,14:25,14:45,24341.1,24329.8,123.6,128.72263999999964,65,332.9715999999772,62.699999999999996,270.2715999999772,time_stop,vp,NIFTY,option,,test
vp_trend,2026-03-12,bearish,12:20,12:40,23808.0,23780.0,69.8,83.50218666666666,32,438.4699733333332,52.01,386.4599733333332,poc_magnet_0,vp,NIFTY,option,,test
vp_trend,2026-03-12,bearish,12:20,12:55,23808.0,23775.3,69.8,85.62882666666702,33,522.3512800000119,52.25,470.1012800000119,poc_magnet_1,vp,NIFTY,option,,test
vp_trend,2026-03-12,bearish,14:00,14:40,23835.0,23779.3,69.9,97.15352000000037,32,872.1126400000117,52.629999999999995,819.4826400000117,poc_magnet_0,vp,NIFTY,option,,test
vp_trend,2026-03-12,bearish,14:00,14:45,23835.0,23755.0,69.9,109.22896,33,1297.85568,53.36,1244.49568,time_stop,vp,NIFTY,option,,test
vp_trend,2026-03-20,bearish,11:45,11:55,23311.2,23270.0,68.3,88.75429333333369,32,654.5373866666782,52.209999999999994,602.3273866666782,poc_magnet_0,vp,NIFTY,option,,test
vp_trend,2026-03-20,bearish,11:45,12:20,23311.2,23203.4,68.3,121.6900266666663,33,1761.870879999988,53.92,1707.9508799999878,target_1,vp,NIFTY,option,,test
vp_trend,2026-03-24,bearish,12:10,12:25,22767.0,22914.6,115.6,41.43008000000072,65,-4821.044799999953,54.41,-4875.454799999953,hard_stop,vp,NIFTY,option,,test
vp_trend,2026-04-10,bearish,14:15,14:45,24015.7,24006.9,70.4,74.34943999999965,65,256.7135999999766,56.120000000000005,200.59359999997662,time_stop,vp,NIFTY,option,,test
vp_trend,2026-04-28,bullish,11:40,12:05,24077.5,24037.0,122.2,101.29826666666666,65,-1358.612666666667,60.13,-1418.7426666666672,zone_failure,vp,NIFTY,option,,test
vp_trend,2026-05-21,bearish,11:15,11:30,23670.7,23715.3,69.4,46.877920000000735,65,-1463.9351999999526,53.56,-1517.4951999999525,zone_failure,vp,NIFTY,option,,test
vp_trend,2026-06-09,bearish,14:00,14:30,23235.0,23270.0,118.0,99.7448,65,-1186.5880000000002,59.86,-1246.448,zone_failure,vp,NIFTY,option,,test
