date,symbol,side,score,rsi,vol_ratio,gap_pct,avg_range_pct,entry,sl,target,qty,status,exit_price,pnl
2026-07-04,INDUSINDBK,LONG,7,65.7,1.74,0.0,2.09,974.35,964.61,988.97,41,OPEN,,
2026-07-04,DLF,LONG,7,71.4,1.61,0.0,2.66,675.9,669.14,686.04,59,OPEN,,
2026-07-04,SBIN,LONG,5,57.3,0.9,0.0,1.64,1040.0,1029.6,1055.6,38,OPEN,,
2026-07-04,BHARTIARTL,LONG,5,61.6,0.76,0.0,1.5,1910.4,1891.3,1939.06,20,OPEN,,
2026-07-04,ASIANPAINT,LONG,5,62.4,0.35,0.0,1.7,2737.8,2710.42,2778.87,14,OPEN,,
2026-07-06,BAJAJHFL,LONG,10,69.2,5.9,0.38,2.11,91.7,90.78,93.08,545,CLOSED,90.78,-601.35
2026-07-06,COSMOFIRST,LONG,10,70.0,3.12,1.01,3.53,861.7,853.08,874.63,58,CLOSED,853.08,-599.92
2026-07-06,DCW,LONG,10,59.4,3.64,0.58,3.28,50.7,50.19,51.46,986,CLOSED,50.19,-602.84
2026-07-06,EIEL,LONG,10,71.7,3.46,1.93,5.02,240.0,237.6,243.6,208,CLOSED,243.6,648.96
2026-07-06,EPL,LONG,10,63.8,2.78,1.17,2.63,239.95,237.55,243.55,208,CLOSED,237.55,-599.02
